NO,REGION,DISCTRIT,TOWNSHIP,TS_PCODE,YEAR,P_KINDS,P_ACRE,H_ACRE,Y_PERCENT,Y_TIN
52,Mandalay,Myingyan,Myingyan,MMR010017,2017-2018,Letyezin,2252,1579,80.32,126828
53,Mandalay,Myingyan,Taungtha,MMR010018,2017-2018,Letyezin,3069,2657,85.74,227811
54,Mandalay,Myingyan,Natogyi,MMR010019,2017-2018,Letyezin,15979,14396,67.75,975399
55,Mandalay,Myingyan,Ngazun,MMR010021,2017-2018,Letyezin,5865,4740,82.78,392380
56,Mandalay,Nyaung_U,Nyaung_U,MMR010022,2017-2018,Letyezin,776,619,79.58,49263
57,Mandalay,Nyaung_U,Kyaukpadaung,MMR010020,2017-2018,Letyezin,20135,18196,66.22,1204977
58,Mandalay,Nyaung_U,Ngathayauk,MMR010022703,2017-2018,Letyezin,10,10,89.31,893
59,Mandalay,Yamethin,Yamethin,MMR010023,2017-2018,Letyezin,38749,38626,69.31,2677123
60,Mandalay,Yamethin,Pyawbwe,MMR010024,2017-2018,Letyezin,36135,34505,66.24,2285451
61,Mandalay,Mandalay,Aungmyaythazan,MMR010001,2017-2018,Ngasein,0,0,0,0
62,Mandalay,Mandalay,Chanayethazan,MMR010002,2017-2018,Ngasein,0,0,0,0
63,Mandalay,Mandalay,Mahaaungmyay,MMR010003,2017-2018,Ngasein,0,0,0,0
64,Mandalay,Mandalay,Chanmyaythazi,MMR010004,2017-2018,Ngasein,0,0,0,0
65,Mandalay,Mandalay,Pyigyitagon,MMR010005,2017-2018,Ngasein,0,0,0,0
66,Mandalay,Mandalay,Amarapura,MMR010006,2017-2018,Ngasein,0,0,0,0
67,Mandalay,Mandalay,Patheingyi,MMR010007,2017-2018,Ngasein,0,0,0,0
68,Mandalay,Pyinoolwin,Pyinoolwin,MMR010008,2017-2018,Ngasein,0,0,0,0
69,Mandalay,Pyinoolwin,Madaya,MMR010009,2017-2018,Ngasein,10708,10708,68.59,734410
70,Mandalay,Pyinoolwin,Singu,MMR010010,2017-2018,Ngasein,8644,8644,57.02,492881
71,Mandalay,Pyinoolwin,Mogoke,MMR010011,2017-2018,Ngasein,0,0,0,0
72,Mandalay,Pyinoolwin,Thabeikkyin,MMR010012,2017-2018,Ngasein,0,0,0,0
73,Mandalay,Pyinoolwin,Tatkaung,MMR010012702,2017-2018,Ngasein,0,0,0,0
74,Mandalay,Kyaukse,Kyaukse,MMR010013,2017-2018,Ngasein,0,0,0,0
75,Mandalay,Kyaukse,Sintgaing,MMR010014,2017-2018,Ngasein,0,0,0,0
76,Mandalay,Kyaukse,Myittha,MMR010015,2017-2018,Ngasein,0,0,0,0
77,Mandalay,Kyaukse,Tada_U,MMR010016,2017-2018,Ngasein,0,0,0,0
78,Mandalay,Meiktila,Meiktila,MMR010028,2017-2018,Ngasein,5210,5210,52.35,272746
79,Mandalay,Meiktila,Mahlaing,MMR010029,2017-2018,Ngasein,1922,1922,50.88,97790
80,Mandalay,Meiktila,Thazi,MMR010030,2017-2018,Ngasein,10685,10685,50.04,534678
81,Mandalay,Meiktila,Wundwin,MMR010031,2017-2018,Ngasein,11899,11899,33,392644
82,Mandalay,Myingyan,Myingyan,MMR010017,2017-2018,Ngasein,0,0,0,0
83,Mandalay,Myingyan,Taungtha,MMR010018,2017-2018,Ngasein,0,0,0,0
84,Mandalay,Myingyan,Natogyi,MMR010019,2017-2018,Ngasein,1622,1622,55.83,90561
85,Mandalay,Myingyan,Ngazun,MMR010021,2017-2018,Ngasein,0,0,0,0
86,Mandalay,Nyaung_U,Nyaung_U,MMR010022,2017-2018,Ngasein,0,0,0,0
87,Mandalay,Nyaung_U,Kyaukpadaung,MMR010020,2017-2018,Ngasein,0,0,0,0
88,Mandalay,Nyaung_U,Ngathayauk,MMR010022703,2017-2018,Ngasein,0,0,0,0
89,Mandalay,Yamethin,Yamethin,MMR010023,2017-2018,Ngasein,0,0,0,0
90,Mandalay,Yamethin,Pyawbwe,MMR010024,2017-2018,Ngasein,0,0,0,0
91,Mandalay,Mandalay,Aungmyaythazan,MMR010001,2017-2018,Glutinous,0,0,0,0
92,Mandalay,Mandalay,Chanayethazan,MMR010002,2017-2018,Glutinous,0,0,0,0
93,Mandalay,Mandalay,Mahaaungmyay,MMR010003,2017-2018,Glutinous,0,0,0,0
94,Mandalay,Mandalay,Chanmyaythazi,MMR010004,2017-2018,Glutinous,0,0,0,0
95,Mandalay,Mandalay,Pyigyitagon,MMR010005,2017-2018,Glutinous,0,0,0,0
96,Mandalay,Mandalay,Amarapura,MMR010006,2017-2018,Glutinous,0,0,0,0
97,Mandalay,Mandalay,Patheingyi,MMR010007,2017-2018,Glutinous,0,0,0,0
98,Mandalay,Pyinoolwin,Pyinoolwin,MMR010008,2017-2018,Glutinous,0,0,0,0
99,Mandalay,Pyinoolwin,Madaya,MMR010009,2017-2018,Glutinous,0,0,0,0
100,Mandalay,Pyinoolwin,Singu,MMR010010,2017-2018,Glutinous,25,25,69.4,1735
101,Mandalay,Pyinoolwin,Mogoke,MMR010011,2017-2018,Glutinous,0,0,0,0
102,Mandalay,Pyinoolwin,Thabeikkyin,MMR010012,2017-2018,Glutinous,0,0,0,0
103,Mandalay,Pyinoolwin,Tatkaung,MMR010012702,2017-2018,Glutinous,0,0,0,0
104,Mandalay,Kyaukse,Kyaukse,MMR010013,2017-2018,Glutinous,0,0,0,0
105,Mandalay,Kyaukse,Sintgaing,MMR010014,2017-2018,Glutinous,0,0,0,0
106,Mandalay,Kyaukse,Myittha,MMR010015,2017-2018,Glutinous,0,0,0,0
107,Mandalay,Kyaukse,Tada_U,MMR010016,2017-2018,Glutinous,0,0,0,0
108,Mandalay,Meiktila,Meiktila,MMR010028,2017-2018,Glutinous,0,0,0,0
109,Mandalay,Meiktila,Mahlaing,MMR010029,2017-2018,Glutinous,0,0,0,0
110,Mandalay,Meiktila,Thazi,MMR010030,2017-2018,Glutinous,0,0,0,0
111,Mandalay,Meiktila,Wundwin,MMR010031,2017-2018,Glutinous,0,0,0,0
112,Mandalay,Myingyan,Myingyan,MMR010017,2017-2018,Glutinous,0,0,0,0
