ST_NAME,TS_NAME,CP_NAME,ROC2014-15,ROCP2014-15,R2014-15,ROY2014-15,ROC2015-16,ROCP2015-16,R2015-16,ROY2015-16,ROC2016-17,ROCP2016-17,R2016-17,ROY2016-17,ROC2017-18,ROCP2017-18,R2017-18,ROY2017-18,ROC2018-19,ROCP2018-19,R2018-19,ROY2018-19
Shan,Hsipaw,Groundnut,10511,10511,64.74,680525,10581,10581,64.77,685295,10644,10644,64.35,684981,1047,1047,107,63500,9546,9546,64.4,614753
Shan,Nawnghkio,Groundnut,11190,11190,56.44,631509,11392,11392,56.27,641038,11394,11394,56.34,641996,524,524,51.2,26829,4804,4804,55.74,267793
Shan,Namtu,Groundnut,695,695,52.07,36188,800,800,52.13,41703,780,780,52.4,40869,235,235,55.34,13005,644,644,53.71,34587
Shan,Mongmit,Groundnut,1069,1069,64.55,69001,1073,1073,64.22,68909,1082,1082,69.47,75166,882,882,40.65,35853,950,950,,45513
Shan,Mabein,Groundnut,1587,1587,51.45,81644,1802,1802,63.77,114915,1587,1587,63.1,100137,1542,1542,64,98688,1580,1580,,98496
Shan,Laukkaing,Groundnut,15,15,62,930,15,15,62,930,,,,,,,,,10,10,62.2,622
Shan,Kone Kyann,Groundnut,20,20,61.6,1232,,,,,,,,,,,,,,,,
Shan,Wa,Groundnut,2100,2100,61.54,129232,2100,2100,61.54,129232,821,821,59.62,48949,622,622,59.6,37071,821,821,59.62,48949
Shan,Matman,Groundnut,30,30,42.5,1275,98,98,46.79,4585,95,95,46.93,4458,25,25,42.52,1063,98,98,46.97,4603
Shan,Wa,Groundnut,100,100,48.5,4850,,,,,1279,1279,62.77,80283,988,988,62.46,61706,1279,1279,62.77,80283
Shan,Keng Tung,Groundnut,3689,3689,52.86,195015,3689,3689,52.75,194578,2779,2779,52.02,144563,3266,3266,52.45,171294,3266,3266,52.52,171529
Shan,Mongyang,Groundnut,2619,2619,51.24,134192,2619,2619,51.26,134240,2619,2619,51.26,134250,2620,2620,51.27,134329,2620,2620,51.28,134357
Shan,Mongkhet,Groundnut,2671,2671,50.81,135724,2690,2690,55.29,148724,2690,2690,55.29,148730,2890,2890,55.27,159729,2890,2890,55.28,159767
Shan,Mongla,Groundnut,1225,1225,47.13,57734,1248,1248,47.15,58849,1264,1264,47.19,59649,610,610,54.44,33211,682,682,47.42,32341
Shan,Mongping,Groundnut,705,705,44.28,31217,640,640,47.15,30179,640,640,47.2,30209,1265,1265,47.7,60337,1265,1265,51.41,65032
Shan,Mong Hsat,Groundnut,552,552,45.37,25044,503,503,45.4,22837,503,503,45.39,22832,539,539,45.4,24468,539,539,45.4,24468
Shan,Mongton,Groundnut,647,647,46.72,30225,647,647,46.73,30232,647,647,46.77,30260,647,647,46.32,29968,647,647,46.35,29991
